;;;; ;;;; ;;
P1
08 ; 032x08 ;   2.5544152355469584E-005 ;;    5.5410939244588754E-005 ;;    3.8246395136898315E-004 ;;          12.8749 ; ;
12 ; 048x12 ;   7.4561305881906020E-006 ;;    1.6216386426489422E-005 ;;    1.2347775715171316E-004 ;; ;        22.7265 ;
16 ; 064x16 ;   3.2146510295445224E-006 ;;    7.0426083901091896E-006 ;;    5.4427831361669732E-005 ;;          79.9168 ; ;
24 ; 096x24 ;   9.6765173961617541E-007 ;;    2.1182498524197721E-006 ;;    1.6876888749850494E-005 ;; ;       144.1413 ;
32 ; 128x32 ;   4.1192447896038315E-007 ;;    9.0354679065877449E-007 ;;    7.2790633693919915E-006 ;;         572.1938 ; ;
48 ; 192x48 ;   1.2314479931622442E-007 ;;    2.7073647451206389E-007 ;;    2.2043112750669280E-006 ;; ;       695.4068 ;
64 ; 256x64 ;   5.2218134197988017E-008 ;;    1.1492395985681574E-007 ;;    9.4003025230549042E-007 ;;        4099.1262 ; ;
96 ; 384x96 ;   1.5554110279070585E-008 ;;    3.4279905552983686E-008 ;;    2.8152597808528412E-007 ;; ;      5426.3109 ;

P3 ;
03 ; 012x03 ;   1.7504124103051644E-005 ;;    3.0717602970522610E-005 ;;    2.2596396100738048E-004 ;; ;        3.2629 ;
04 ; 016x04 ;   5.1035310301089975E-006 ;;    9.1960753585416281E-006 ;;    6.3549400540763301E-005 ;;          6.3960 ; ;
06 ; 024x06 ;   1.2118978131585216E-006 ;;    2.2694173150294501E-006 ;;    1.7477549122624225E-005 ;; ;       11.6138 ;
08 ; 032x08 ;   4.1275137627638638E-007 ;;    8.6886050992869874E-007 ;;    7.6617514643828599E-006 ;;         41.9530 ; ;
12 ; 048x12 ;   9.0878507911326217E-008 ;;    2.1578887674916705E-007 ;;    2.3493197929269627E-006 ;; ;       50.1079 ;
16 ; 064x16 ;   3.0102203505685819E-008 ;;    7.6409110525710729E-008 ;;    9.6232538648877153E-007 ;;        282.5703 ; ;
24 ; 096x24 ;   6.1527165999842012E-009 ;;    1.8233133310772350E-008 ;;    2.8746045277472376E-007 ;; ;      348.7200 ;
32 ; 128x32 ;   1.9764552046483300E-009 ;;    6.5625313124060318E-009 ;;    1.2250880487840732E-007 ;;       2050.9278 ; ;
48 ; 192x48 ;   3.9932645962182931E-010 ;;    1.5772931386070805E-009 ;;    3.6574427042523894E-008 ;; ;     2405.5406 ;
